性能分析详细报告
================================================================================

按累积时间排序:
----------------------------------------
         259480761 function calls (259154600 primitive calls) in 716.733 seconds

   Ordered by: cumulative time
   List reduced from 1682 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIString_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIStringList_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIDoubleList_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIIntList_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIStringDoublePairList_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIPhase_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIPhaseVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCILogic_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCILogicVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCILink_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCILinkVectorVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIConnection_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIConnectionVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIVehicleData_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIVehicleDataVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCINextTLSData_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCINextTLSDataVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCINextStopData_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCINextStopDataVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIBestLanesData_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIBestLanesDataVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIStage_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIReservation_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIReservationVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCICollision_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCICollisionVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCISignalConstraint_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCISignalConstraintVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIJunctionFoe_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIJunctionFoeVectorWrapped_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCILogicVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIStageVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCINextStopDataVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIReservationVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCISignalConstraintVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCICollisionVector_swigregister}
        1    0.002    0.002    0.002    0.002 {built-in method libsumo._libsumo.edge_getIDList}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.edge_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.gui_swigregister}
